ID,mbp,sbp,dbp,cp,sut,dt,dt10,st10,st10_p_dt10,st10_d_dt10,dt25,st25,st25_p_dt25,st25_d_dt25,dt33,st33,st33_p_dt33,st33_d_dt33,dt50,st50,st50_p_dt50,st50_d_dt50,dt66,st66,st66_p_dt66,st66_d_dt66,dt75,st75,st75_p_dt75,st75_d_dt75
34040000,92.8962079819,128.671592073,75.0085159362,0.7635,0.1965,0.548,0.015,0.194,0.209,0.0756107660455,0.015,0.194,0.209,0.0756107660455,0.014,0.194,0.208,0.0711464803313,0.014,0.194,0.208,0.0711464803313,0.014,0.194,0.208,0.0711464803313,0.014,0.194,0.208,0.0711464803313
34040000,94.9826234776,133.153119803,75.8973753151,0.7655,0.25,0.5495,0.019,0.2365,0.2555,0.0914116520734,0.019,0.2365,0.2555,0.0914116520734,0.019,0.2365,0.2555,0.0914116520734,0.019,0.2365,0.2555,0.0914116520734,0.019,0.2365,0.2555,0.0914116520734,0.019,0.2365,0.2555,0.0914116520734
34040000,95.0504744467,131.953541611,76.5989408647,0.75,0.195,0.5475,0.0355,0.153,0.1885,0.246467288839,0.0355,0.153,0.1885,0.246467288839,0.0355,0.153,0.1885,0.246467288839,0.0355,0.153,0.1885,0.246467288839,0.0355,0.153,0.1885,0.246467288839,0.0355,0.153,0.1885,0.246467288839
34040000,95.2303054872,132.774178552,76.458368955,0.7405,0.229,0.54,0.026,0.2275,0.2535,0.115009203759,0.026,0.2275,0.2535,0.115009203759,0.026,0.2275,0.2535,0.115009203759,0.026,0.2275,0.2535,0.115009203759,0.026,0.2275,0.2535,0.115009203759,0.026,0.2275,0.2535,0.115009203759
34040000,95.5416989288,132.63392703,76.9955848779,0.741,0.242,0.487,0.014,0.234,0.248,0.0619207875458,0.014,0.234,0.248,0.0619207875458,0.014,0.234,0.248,0.0619207875458,0.014,0.234,0.248,0.0619207875458,0.014,0.234,0.248,0.0619207875458,0.014,0.234,0.248,0.0619207875458
34040000,96.6247779105,134.714819453,77.5797571395,0.741,0.212,0.498,0.014,0.2055,0.2195,0.0695018313989,0.014,0.2055,0.2195,0.0695018313989,0.014,0.2055,0.2195,0.0695018313989,0.014,0.2055,0.2195,0.0695018313989,0.01,0.2055,0.2155,0.0477627009642,0.01,0.2055,0.2155,0.0477627009642
34040000,97.0326071727,136.613532674,77.2421444223,0.7495,0.1995,0.544,0.0175,0.1935,0.211,0.0910655115818,0.0175,0.1935,0.211,0.0910655115818,0.0175,0.1935,0.211,0.0910655115818,0.0175,0.1935,0.211,0.0910655115818,0.0175,0.1935,0.211,0.0910655115818,0.0175,0.1935,0.211,0.0910655115818
34040000,97.1267710984,135.577944418,77.9011844384,0.72,0.214,0.51,0.0175,0.214,0.2315,0.0824897807507,0.0175,0.214,0.2315,0.0824897807507,0.0175,0.214,0.2315,0.0824897807507,0.0175,0.214,0.2315,0.0824897807507,0.0175,0.214,0.2315,0.0824897807507,0.0175,0.214,0.2315,0.0824897807507
34040000,97.2190149813,134.264113419,78.6964657623,0.7585,0.236,0.4955,0.025,0.2335,0.2585,0.115214114519,0.025,0.2335,0.2585,0.115214114519,0.025,0.2335,0.2585,0.115214114519,0.025,0.2335,0.2585,0.115214114519,0.025,0.2335,0.2585,0.115214114519,0.025,0.2335,0.2585,0.115214114519
34040000,97.224771557,135.148359713,78.2629774788,0.744,0.209,0.5265,0.0355,0.2045,0.24,0.173603988604,0.0355,0.2045,0.24,0.173603988604,0.0355,0.2045,0.24,0.173603988604,0.0355,0.2045,0.24,0.173603988604,0.0355,0.2045,0.24,0.173603988604,0.0355,0.2045,0.24,0.173603988604
